director_name,actor_1_name,actor_2_name,actor_3_name,genres,gross
4,7,7,2,Sci-Fi,424645577
2,5,5,2,Thriller,424645577
2,6,9,5,Adventure,292298923
6,6,17,5,Drama,292298923
2,6,8,6,Fantasy,292298923
2,6,9,6,Romance,292298923
4,3,3,3,Adventure,177343675
4,3,3,3,Animation,177343675
4,4,3,3,Comedy,177343675
4,3,3,3,Family,177343675
3,3,3,3,Fantasy,177343675
3,3,3,3,Sci-Fi,177343675
12,8,1,1,Adventure,234277056
7,5,1,2,Sci-Fi,234277056
6,16,2,3,Thriller,234277056
12,11,1,4,Action,138396624
3,9,1,2,Comedy,138396624
3,4,1,4,Crime,138396624
7,4,1,3,Thriller,138396624
1,9,1,2,Action,149234747
2,5,1,3,Adventure,149234747
2,2,1,2,Animation,149234747
2,8,1,4,Comedy,149234747
2,3,1,2,Family,149234747
2,4,1,2,Fantasy,149234747
4,14,3,1,Action,118311368
3,7,2,1,Crime,118311368
3,5,2,1,Mystery,118311368
6,13,4,1,Thriller,118311368
1,10,1,4,Action,101160529
1,9,3,6,Adventure,101160529
6,21,2,5,Drama,101160529
8,1,2,7,Action,77564037
12,2,2,5,Adventure,77564037
4,2,1,1,Family,77564037
2,2,1,3,Mystery,77564037
3,7,9,4,Adventure,249358727
1,6,6,4,Family,249358727
1,7,7,4,Fantasy,249358727
1,6,6,4,Mystery,249358727
1,1,2,1,Adventure,49551662
5,1,1,1,Drama,49551662
5,1,1,1,Romance,49551662
1,1,1,1,War,49551662
2,11,3,5,Action,60522097
2,6,3,5,Adventure,60522097
4,9,3,4,Sci-Fi,60522097
1,3,1,1,Adventure,137748063
1,2,1,1,Animation,137748063
1,2,1,1,Family,137748063
1,2,2,2,Thriller,137748063
6,5,3,6,Adventure,113733726
11,21,3,14,Comedy,113733726
7,10,3,10,Family,113733726
3,6,3,6,Fantasy,113733726
1,11,7,4,Action,148337537
1,2,3,3,Animation,148337537
1,13,8,32,Comedy,148337537
1,2,3,6,Family,148337537
1,3,2,2,Sci-Fi,148337537
4,7,3,3,Adventure,317557891
6,6,3,1,Family,317557891
3,7,4,2,Fantasy,317557891
3,8,5,1,Action,33592415
2,10,10,4,Comedy,33592415
2,5,4,1,Fantasy,33592415
4,9,8,3,Action,305388685
6,12,9,3,Adventure,305388685
3,13,6,3,Fantasy,305388685
3,7,6,10,Adventure,337103873
4,7,2,7,Sci-Fi,337103873
2,5,7,5,Thriller,337103873
2,4,1,1,Mystery,217536138
4,6,1,2,Thriller,217536138
4,1,1,1,Adventure,131536019
4,1,1,1,Animation,131536019
4,2,1,1,Comedy,131536019
4,1,1,1,Family,131536019
2,1,1,1,Musical,131536019
5,9,2,1,Action,214948780
6,11,2,1,Adventure,214948780
3,9,1,1,Fantasy,214948780
5,10,2,1,Sci-Fi,214948780
4,9,2,1,Thriller,214948780
3,12,15,18,Action,209805005
3,11,9,8,Crime,209805005
3,12,13,10,Thriller,209805005
4,10,5,1,Action,186830669
3,9,4,1,Adventure,186830669
6,6,3,2,Crime,186830669
2,7,4,1,Mystery,186830669
3,6,6,2,Thriller,186830669
6,17,5,3,Action,163192114
3,11,5,3,Adventure,163192114
2,5,5,2,Fantasy,163192114
4,5,2,2,Action,119412921
4,2,2,2,Sci-Fi,119412921
8,7,1,1,Action,32694788
5,5,1,1,Adventure,32694788
1,1,1,1,History,32694788
1,5,7,2,Action,113165635
1,4,4,1,Adventure,113165635
3,7,7,1,Thriller,113165635
3,4,5,1,Action,107285004
4,4,3,6,Comedy,260031035
1,2,1,2,Family,260031035
2,1,2,2,Fantasy,260031035
6,3,6,3,Action,186739919
4,3,6,4,Adventure,186739919
4,4,4,2,Sci-Fi,186739919
3,10,6,4,Thriller,186739919
6,14,3,3,Action,215397307
2,8,1,4,Adventure,215397307
4,16,5,3,Thriller,215397307
4,2,1,3,Action,182618434
5,2,3,2,Adventure,182618434
5,3,5,5,Drama,182618434
5,1,3,5,Thriller,182618434
3,8,2,3,Action,131920333
1,6,5,2,Adventure,131920333
1,7,1,2,Sci-Fi,131920333
1,5,3,4,Thriller,131920333
1,1,2,1,Adventure,124976634
7,2,3,2,Drama,124976634
1,1,2,1,Fantasy,124976634
1,15,1,1,Action,115802596
1,11,1,2,Fantasy,115802596
1,17,1,2,Thriller,115802596
4,10,1,1,Action,108521835
6,17,1,1,Thriller,108521835
5,2,2,1,Action,100685880
3,2,2,1,Adventure,100685880
3,5,12,5,Comedy,100685880
2,4,4,2,Crime,100685880
7,5,6,2,Adventure,126464904
1,1,3,1,Mystery,126464904
4,3,6,1,Sci-Fi,126464904
4,5,4,2,Adventure,64736114
2,4,3,1,Animation,64736114
4,7,6,3,Comedy,64736114
4,7,4,1,Family,64736114
4,5,2,1,Fantasy,64736114
3,10,4,3,Action,93050117
2,26,2,4,Drama,93050117
3,4,3,4,Sci-Fi,93050117
3,17,3,3,Thriller,93050117
2,15,3,1,Action,57637485
2,6,3,1,Adventure,57637485
3,6,1,1,Sci-Fi,57637485
3,13,1,1,Thriller,57637485
3,11,4,2,Action,58607007
3,5,3,3,Crime,58607007
2,7,2,2,Sci-Fi,58607007
